"Year","Area (use fill down)","Street (use find and replace to replace the odd character with a space)","Street 2 (in Refine use titlecase and cluster and edit)","Strange HTML (use unescape HTML)"
2012,"Birmingham","Garrison Lane","Garrison Lane","NA"
2012,"Birmingham","Gas St","Gas St","NA"
2012,"Birmingham","Gas st City Centre","Gas st City Centre","NA"
2012,"Birmingham","Gas St, Birmingham","Gas St, Birmingham","NA"
2012,"Birmingham","Gas Street","Gas Street","NA"
2012,"Birmingham","Gas Street","Gas Street","NA"
2012,"Birmingham","Gas Street, City Centre","Gas Street, City Centre","NA"
2012,"Birmingham","Gas Street, City Centre","Gas Street, City Centre","NA"
2012,"Birmingham","Gatecrashers","Gatecrashers","NA"
2012,"Birmingham","Grange Road","Grange Road","NA"
2012,"Birmingham","Granville Street, City Centre","Granville Street, City Centre","NA"
2012,"Birmingham","Granville Street, off Broad Street, Birmingham","Granville Street, off Broad Street, Birmingham","NA"
2012,"Birmingham","Great Colmore Street","Great Colmore Street","NA"
2012,"Birmingham","Great hampton St, Birmingham","Great hampton St, Birmingham","NA"
2012,"Birmingham","Great hampton St, Birmingham","Great hampton St, Birmingham","NA"
2012,"Birmingham","Guild Close","Guild Close","NA"
2012,"Birmingham","Guild Close","Guild Close","NA"
2012,"Birmingham","Guild Close","Guild Close","NA"
2012,"Birmingham","Hagley Road","Hagley Road","NA"
2012,"Birmingham","Handsworth New Road, Birmingham","Handsworth New Road, Birmingham","NA"
2012,"Birmingham","Handsworth Wood Road","Handsworth Wood Road","NA"
2012,"Birmingham","Hawthorns football ground","Hawthorns football ground","NA"
2012,"Birmingham","Heathfield Avenue, Handsworth","Heathfield Avenue, Handsworth","NA"
2012,"Birmingham","Heathfield Road, Lozells","Heathfield Road, Lozells","NA"
2012,"Birmingham","High street","High street","NA"
2012,"Birmingham","High Street, Digbeth","High Street, Digbeth","NA"
2012,"Birmingham","High Street, Digbeth","High Street, Digbeth","NA"
2012,"Birmingham","Highgate Street","Highgate Street","NA"
2012,"Birmingham","Hill st","Hill st","NA"
2012,"Birmingham","Hill Street, City Centre","Hill Street, City Centre","NA"
2012,"Birmingham","Holiday Street, Handsworth","Holiday Street, Handsworth","NA"
2012,"Birmingham","Holiday Street, Handsworth","Holiday Street, Handsworth","NA"
2012,"Birmingham","Holloway head","Holloway head","NA"
2012,"Birmingham","Hollyhead Road, Handsworth, Birmingham","Hollyhead Road, Handsworth, Birmingham","NA"
2012,"Birmingham","Holte End, Villa Park.","Holte End, Villa Park.","NA"
2012,"Birmingham","Home address","Home address","NA"
2012,"Birmingham","Home address","Home address","NA"
2012,"Birmingham","Home address","Home address","NA"
2012,"Birmingham","Horsefair Street","Horsefair Street","NA"
2012,"Birmingham","Horsefair, Birmingham.","Horsefair, Birmingham.","NA"
2012,"Birmingham","Horsefair, City Centre","Horsefair, City Centre","NA"
2012,"Birmingham","Horsefair, City Centre","Horsefair, City Centre","NA"
2012,"Birmingham","Horsefairs","Horsefairs","NA"
2012,"Birmingham","Hurst st","Hurst st","NA"
2012,"Birmingham","Hurst St, Birmingham","Hurst St, Birmingham","NA"
2012,"Birmingham","Hurst St, Birmingham","Hurst St, Birmingham","NA"
2012,"Birmingham","Hurst St, Birmingham","Hurst St, Birmingham","NA"
2012,"Birmingham","Hurst Steet, Birmingham","Hurst Steet, Birmingham","NA"
2012,"Birmingham","Hurst Street","Hurst Street","NA"
2012,"Birmingham","Hurst Street","Hurst Street","NA"
2012,"Birmingham","Hurst Street","Hurst Street","NA"
2012,"Birmingham","Hurst Street","Hurst Street","NA"
2012,"Birmingham","Hurst Street","Hurst Street","NA"
2012,"Birmingham","Hurst Street","Hurst Street","NA"
2012,"Birmingham","Hurst Street","Hurst Street","NA"
2012,"Birmingham","Hurst Street","Hurst Street","NA"
2012,"Birmingham","Hurst street","Hurst street","NA"
2012,"Birmingham","Hurst street","Hurst street","NA"
2012,"Birmingham","Hurst street","Hurst street","NA"
2012,"Birmingham","Hurst Street, Birmingham City Centre","Hurst Street, Birmingham City Centre","NA"
2012,"Birmingham","Hurst Street, city centre","Hurst Street, city centre","NA"
2012,"Birmingham","Hursyt street","Hursyt street","NA"
2012,"Birmingham","Husrt street","Husrt street","NA"
2012,"Birmingham","Icknield port road","Icknield port road","NA"
2012,"Birmingham","Icknield St","Icknield St","NA"
2012,"Birmingham","Island apartments","Island apartments","NA"
2012,"Birmingham","Islington Row City centre","Islington Row City centre","NA"
2012,"Birmingham","Ivy Road","Ivy Road","NA"
2012,"Birmingham","Ivy Road, Handsworth","Ivy Road, Handsworth","NA"
2012,"Birmingham","John Bright St","John Bright St","NA"
2012,"Birmingham","Kerryman Public House, Digbeth","Kerryman Public House, Digbeth","NA"
2012,"Birmingham","Kings road","Kings road","NA"
2012,"Birmingham","Kings Standing Road","Kings Standing Road","NA"
2012,"Birmingham","Kingstanding Road,Kingstanding","Kingstanding Road,Kingstanding","NA"
2012,"Birmingham","Ladywell Walk","Ladywell Walk","NA"
2012,"Birmingham","Ladywell walk","Ladywell walk","NA"
2012,"Birmingham","Ladywell walk","Ladywell walk","NA"
2012,"Birmingham","Ladywell Walk","Ladywell Walk","NA"
2012,"Birmingham","Ladywell walk","Ladywell walk","NA"
2012,"Birmingham","Ladywell Walk","Ladywell Walk","NA"
2012,"Birmingham","Ladywell Walk","Ladywell Walk","NA"
2012,"Birmingham","Ladywell Walk Arcadian","Ladywell Walk Arcadian","NA"
2012,"Birmingham","Ladywell Walk,","Ladywell Walk,","NA"
2012,"Birmingham","Ladywell Walk, City Centre","Ladywell Walk, City Centre","NA"
2012,"Birmingham","Ladywell Walk, City Centre","Ladywell Walk, City Centre","NA"
2012,"Birmingham","Ladywell Walk, City Centre","Ladywell Walk, City Centre","NA"
2012,"Birmingham","Ladywell Walk, o/s Ibis Hotel, City Centre","Ladywell Walk, o/s Ibis Hotel, City Centre","NA"
2012,"Birmingham","Ladywell Walk, o/s Ibis Hotel, City Centre","Ladywell Walk, o/s Ibis Hotel, City Centre","NA"
2012,"Birmingham","Ladywell Walk, o/s Ibis Hotel, City Centre","Ladywell Walk, o/s Ibis Hotel, City Centre","NA"
2012,"Birmingham","Ladywell Walk, o/s Sense Nightclub","Ladywell Walk, o/s Sense Nightclub","NA"
2012,"Birmingham","Ladywell Walk,City centre","Ladywell Walk,City centre","NA"
2012,"Birmingham","Ladywood ( road name u/k )","Ladywood ( road name u/k )","NA"
2012,"Birmingham","Landon Street, Highgate","Landon Street, Highgate","NA"
2012,"Birmingham","Livery Street, City Centre","Livery Street, City Centre","NA"
2012,"Birmingham","Lodge Road","Lodge Road","NA"
2012,"Birmingham","Lodge Road","Lodge Road","NA"
2012,"Birmingham","Lozells Road, Birmingham","Lozells Road, Birmingham","NA"
2012,"Birmingham","Ludgate Hill, Birmingham","Ludgate Hill, Birmingham","NA"
2012,"Birmingham","Main concourse, Bham New Street","Main concourse, Bham New Street","NA"
2012,"Birmingham","Main concourse, New Street Station.","Main concourse, New Street Station.","NA"
2012,"Birmingham","McDonald St, Highgate","McDonald St, Highgate","NA"
2012,"Birmingham","McDonalds Û Small Heath","McDonalds Û Small Heath","NA"
2012,"Birmingham","McDonalds Û Small Heath","McDonalds Û Small Heath","NA"
2012,"Birmingham","McDonalds, Cherry Street, Birmingham","McDonalds, Cherry Street, Birmingham","NA"
2012,"Birmingham","McDonalds, Cherry Street, Birmingham","McDonalds, Cherry Street, Birmingham","NA"
2012,"Birmingham","McDonalds, Cherry Street, Birmingham","McDonalds, Cherry Street, Birmingham","NA"
2012,"Birmingham","McDonalds, Cherry Street, Birmingham","McDonalds, Cherry Street, Birmingham","NA"
2012,"Birmingham","Middleway View","Middleway View","NA"
2012,"Birmingham","Mono Bar, Arcadian","Mono Bar, Arcadian","NA"
2012,"Birmingham","N/k","N/k","NA"
2012,"Birmingham","Navigation st","Navigation st","NA"
2012,"Birmingham","Nechells Park Road","Nechells Park Road","NA"
2012,"Birmingham","Nechells Park Road","Nechells Park Road","NA"
2012,"Birmingham","Nechells Park Road","Nechells Park Road","NA"
2012,"Birmingham","Nechells Park Road","Nechells Park Road","NA"
2012,"Birmingham","Nechells Park Road","Nechells Park Road","NA"
2012,"Birmingham","New st","New st","NA"
2012,"Birmingham","NEW ST","NEW ST","NA"
2012,"Birmingham","New st","New st","NA"
2012,"Birmingham","New st","New st","NA"
2012,"Birmingham","New st station","New st station","NA"
2012,"Birmingham","New st station","New st station","NA"
2012,"Birmingham","New St Station","New St Station","NA"
2012,"Birmingham","New St Station","New St Station","NA"
2012,"Birmingham","New St Station","New St Station","NA"
2012,"Birmingham","New St Station","New St Station","NA"
2012,"Birmingham","New St Stn","New St Stn","NA"
2012,"Birmingham","New street","New street","NA"
2012,"Birmingham","New street","New street","NA"
2012,"Birmingham","New Street","New Street","NA"
2012,"Birmingham","New street","New street","NA"
2012,"Birmingham","New street","New street","NA"
2012,"Birmingham","New Street","New Street","NA"
2012,"Birmingham","New street railway station","New street railway station","NA"
2012,"Birmingham","New street railway station","New street railway station","NA"
2012,"Birmingham","New Street Station","New Street Station","NA"
2012,"Birmingham","New Street Station","New Street Station","NA"
2012,"Birmingham","New Street Station","New Street Station","NA"
2012,"Birmingham","New Street Station","New Street Station","NA"
2012,"Birmingham","New Street Station","New Street Station","NA"
2012,"Birmingham","New Street Station","New Street Station","NA"
2012,"Birmingham","New STreet station","New STreet station","NA"
2012,"Birmingham","New STreet station","New STreet station","NA"
2012,"Birmingham","New STreet station","New STreet station","NA"
2012,"Birmingham","New Street station","New Street station","NA"
2012,"Birmingham","New Street Station","New Street Station","NA"
2012,"Birmingham","New Street Station, Birmingham","New Street Station, Birmingham","NA"
2012,"Birmingham","New Street Station, Birmingham","New Street Station, Birmingham","NA"
2012,"Birmingham","New Street Station.","New Street Station.","NA"
2012,"Birmingham","NEW sTREET, Birmingham","NEW sTREET, Birmingham","NA"
2012,"Birmingham","New Street, City Centre","New Street, City Centre","NA"
2012,"Birmingham","New street, City Centre","New street, City Centre","NA"
2012,"Birmingham","New Street, City Centre","New Street, City Centre","NA"
2012,"Birmingham","New Street, City Centre","New Street, City Centre","NA"
2012,"Birmingham","New Street, City centre","New Street, City centre","NA"
2012,"Birmingham","New Street, City Centre.","New Street, City Centre.","NA"
2012,"Birmingham","Newtown Drive, Newtown","Newtown Drive, Newtown","NA"
2012,"Birmingham","Ninehva road","Ninehva road","NA"
2012,"Birmingham","Nineva Road, Handlworth","Nineva Road, Handlworth","NA"
2012,"Birmingham","Ninevah Road, Birmingham","Ninevah Road, Birmingham","NA"
2012,"Birmingham","Niniva Road, Handsworth","Niniva Road, Handsworth","NA"
2012,"Birmingham","O/s Bliss Nightclub","O/s Bliss Nightclub","NA"
2012,"Birmingham","O/s Bliss, Broad Street","O/s Bliss, Broad Street","NA"
2012,"Birmingham","O/s Gatecrasher, Broad Street","O/s Gatecrasher, Broad Street","NA"
2012,"Birmingham","O/s Gatecrasher, Broad Street","O/s Gatecrasher, Broad Street","NA"
2012,"Birmingham","O/s Gatecrasher, Broad Street","O/s Gatecrasher, Broad Street","NA"
2012,"Birmingham","O/s Gatecrasher, Broad Street","O/s Gatecrasher, Broad Street","NA"
2012,"Birmingham","O/s Gatecrasher, Broad Street","O/s Gatecrasher, Broad Street","NA"
2012,"Birmingham","O/S New Street Train Station","O/S New Street Train Station","NA"
2012,"Birmingham","O/s Ricco, Broad Street","O/s Ricco, Broad Street","NA"
2012,"Birmingham","O/s St Martins Hospital, Bull Ring area","O/s St Martins Hospital, Bull Ring area","NA"
2012,"Birmingham","O/s St Martins Hospital, Bull Ring area","O/s St Martins Hospital, Bull Ring area","NA"
2012,"Birmingham","O/S Thornhill Road Police Station","O/S Thornhill Road Police Station","NA"
2012,"Birmingham","O/S walkabout Broad street","O/S walkabout Broad street","NA"
2012,"Birmingham","O/s Walkabout, Broad Street","O/s Walkabout, Broad Street","NA"
2012,"Birmingham","O/s Walkabout, Broad Street, Birmingham","O/s Walkabout, Broad Street, Birmingham","NA"
2012,"Birmingham","O2 Acadamy,Bristol Street","O2 Acadamy,Bristol Street","NA"
2012,"Birmingham","O2 Academy, Birmingham","O2 Academy, Birmingham","NA"
2012,"Birmingham","Old Snow Hill","Old Snow Hill","NA"
2012,"Birmingham","Outside Arcadia Centre, City cENTRE","Outside Arcadia Centre, City cENTRE","NA"
2012,"Birmingham","Outside Bliss,Broad Street","Outside Bliss,Broad Street","NA"
2012,"Birmingham","Outside the Village PH Digbeth","Outside the Village PH Digbeth","NA"
2012,"Birmingham","Oxford Street, Digbeth","Oxford Street, Digbeth","NA"
2012,"Birmingham","Oxhill Road, Handsworth, Birmingham","Oxhill Road, Handsworth, Birmingham","NA"
2012,"Birmingham","Paradise Circus, Birmingham","Paradise Circus, Birmingham","NA"
2012,"Birmingham","Paradise Circus, City Centre","Paradise Circus, City Centre","NA"
2012,"Birmingham","Paradise Forum","Paradise Forum","NA"
2012,"Birmingham","Paradise Forum","Paradise Forum","NA"
2012,"Birmingham","Park Road","Park Road","NA"
2012,"Birmingham","Park street","Park street","NA"
2012,"Birmingham","Park street","Park street","NA"
2012,"Birmingham","Peel street","Peel street","NA"
2012,"Birmingham","Pershore Street, City Centre","Pershore Street, City Centre","NA"
2012,"Birmingham","Pershore Street, City Centre.","Pershore Street, City Centre.","NA"
2012,"Birmingham","PIC's H/A","PIC's H/A","NA"
2012,"Birmingham","Platform 7, Birmingham New Street","Platform 7, Birmingham New Street","NA"
2012,"Birmingham","Princip St","Princip St","NA"
2012,"Birmingham","Prior Queens Way","Prior Queens Way","NA"
2012,"Birmingham","Priory Queensway","Priory Queensway","NA"
2012,"Birmingham","Priory Square","Priory Square","NA"
2012,"Birmingham","Putney Road, Handsworth","Putney Road, Handsworth","NA"
2012,"Birmingham","Queens Way","Queens Way","NA"
2012,"Birmingham","Queens Way, birmingham City Centre","Queens Way, birmingham City Centre","NA"
2012,"Birmingham","Queslett Road, Great Barr","Queslett Road, Great Barr","NA"
2012,"Birmingham","Rainbow Bar, Digbeth, Birmingham","Rainbow Bar, Digbeth, Birmingham","NA"
2012,"Birmingham","Rainbow warehouse club","Rainbow warehouse club","NA"
2012,"Birmingham","Rainbow warehouse club","Rainbow warehouse club","NA"
2012,"Birmingham","Rea  Street, Digbeth","Rea  Street, Digbeth","NA"
2012,"Birmingham","Rea Street, City Centre","Rea Street, City Centre","NA"
2012,"Birmingham","Reception area of IBIS Hotel, Ladywell Walk","Reception area of IBIS Hotel, Ladywell Walk","NA"
2012,"Birmingham","Richmond Road, Stechford","Richmond Road, Stechford","NA"
2012,"Birmingham","Rococco, Broad St, Birmingham","Rococco, Broad St, Birmingham","NA"
2012,"Birmingham","Rookery road","Rookery road","NA"
2012,"Birmingham","Rushden Street, Ladywood","Rushden Street, Ladywood","NA"
2012,"Birmingham","Sainsbury Oldbury","Sainsbury Oldbury","NA"
2012,"Birmingham","Sandon Road","Sandon Road","NA"
2012,"Birmingham","Sheepcote Street back of Brindley Place","Sheepcote Street back of Brindley Place","NA"
2012,"Birmingham","Sherlock St","Sherlock St","NA"
2012,"Birmingham","Sherlock St, Birmingham","Sherlock St, Birmingham","NA"
2012,"Birmingham","Small Brook, Queensway","Small Brook, Queensway","NA"
2012,"Birmingham","Smallbrook Queensway","Smallbrook Queensway","NA"
2012,"Birmingham","Smallbrook Queensway","Smallbrook Queensway","NA"
2012,"Birmingham","Smallbrook Queensway","Smallbrook Queensway","NA"
2012,"Birmingham","Smallbrook Queensway","Smallbrook Queensway","NA"
2012,"Birmingham","Smallbrook Queensway","Smallbrook Queensway","NA"
2012,"Birmingham","Smallbrook queensway","Smallbrook queensway","NA"
2012,"Birmingham","Smallbrook Queensway, Birmingham","Smallbrook Queensway, Birmingham","NA"
2012,"Birmingham","Soho Road","Soho Road","NA"
2012,"Birmingham","Soho road","Soho road","NA"
2012,"Birmingham","Soho Road","Soho Road","NA"
2012,"Birmingham","Soho road","Soho road","NA"
2012,"Birmingham","SOHO ROAD, Handsworth","SOHO ROAD, Handsworth","NA"
2012,"Birmingham","Spical Street","Spical Street","NA"
2012,"Birmingham","Spiceal Street, Bullring","Spiceal Street, Bullring","NA"
2012,"Birmingham","Springhill Winson Green","Springhill Winson Green","NA"
2012,"Birmingham","ST Johns Walk","ST Johns Walk","NA"
2012,"Birmingham","St Martins Church, Bullring","St Martins Church, Bullring","NA"
2012,"Birmingham","St Martins Church, Bullring","St Martins Church, Bullring","NA"
2012,"Birmingham","St martins queensway","St martins queensway","NA"
2012,"Birmingham","St Martins Square, City Centre","St Martins Square, City Centre","NA"
2012,"Birmingham","St Phillips cathedral","St Phillips cathedral","NA"
2012,"Birmingham","St Phillips Churchyard, Temple Row","St Phillips Churchyard, Temple Row","NA"
2012,"Birmingham","Star city","Star city","NA"
2012,"Birmingham","Star City, Birmingham","Star City, Birmingham","NA"
2012,"Birmingham","Stealhouse lane","Stealhouse lane","NA"
2012,"Birmingham","Steelhouse Lane","Steelhouse Lane","NA"
2012,"Birmingham","Steelhouse Lane","Steelhouse Lane","NA"
2012,"Birmingham","Steelhouse Lane City Centre","Steelhouse Lane City Centre","NA"
2012,"Birmingham","Steelhouse Lane Police Station","Steelhouse Lane Police Station","NA"
2012,"Birmingham","Suffolk Street Queensway, City Centre","Suffolk Street Queensway, City Centre","NA"
2012,"Birmingham","Summer Row, Birmingham","Summer Row, Birmingham","NA"
2012,"Birmingham","Summer Row, Birmingham","Summer Row, Birmingham","NA"
2012,"Birmingham","Summer Row,City centre","Summer Row,City centre","NA"
2012,"Birmingham","Tanhouse fish bar","Tanhouse fish bar","NA"
2012,"Birmingham","Tescos, Aston","Tescos, Aston","NA"
2012,"Birmingham","Tescos, New Street","Tescos, New Street","NA"
2012,"Birmingham","Tew Park Road Handsworth","Tew Park Road Handsworth","NA"
2012,"Birmingham","The Arcadian Centre","The Arcadian Centre","NA"
2012,"Birmingham","The Bullring,","The Bullring,","NA"
2012,"Birmingham","The Review Bar, Arcadian, Birmingham","The Review Bar, Arcadian, Birmingham","NA"
2012,"Birmingham","Thimblemill Road, smethwick","Thimblemill Road, smethwick","NA"
2012,"Birmingham","Three Shires Oak Road, Bearwood","Three Shires Oak Road, Bearwood","NA"
2012,"Birmingham","Union Passage","Union Passage","NA"
2012,"Birmingham","Union Street, City Centre","Union Street, City Centre","NA"
2012,"Birmingham","Upper Bull St O/S Priory Court","Upper Bull St O/S Priory Court","NA"
2012,"Birmingham","Upper dean st","Upper dean st","NA"
2012,"Birmingham","Upper Dean Street, Birmingham","Upper Dean Street, Birmingham","NA"
2012,"Birmingham","Vauxhall Road, Neachells","Vauxhall Road, Neachells","NA"
2012,"Birmingham","Vauxhall Road, Neachells","Vauxhall Road, Neachells","NA"
2012,"Birmingham","Vicarage Road,handsworth","Vicarage Road,handsworth","NA"
2012,"Birmingham","Vicarge Road, Edgbaston","Vicarge Road, Edgbaston","NA"
2012,"Birmingham","Victoria Square","Victoria Square","NA"
2012,"Birmingham","Victoria Square","Victoria Square","NA"
2012,"Birmingham","Victoria Square","Victoria Square","NA"
2012,"Birmingham","Victoria Square Step, Birmingham","Victoria Square Step, Birmingham","NA"
2012,"Birmingham","Victoria Square. City Centre.","Victoria Square. City Centre.","NA"
2012,"Birmingham","Villa Road,Lozells","Villa Road,Lozells","NA"
2012,"Birmingham","Wallface, west bromwich","Wallface, west bromwich","NA"
2012,"Birmingham","Waters Street","Waters Street","NA"
2012,"Birmingham","Waverhill Park, Handsworth","Waverhill Park, Handsworth","NA"
2012,"Birmingham","Waverly Hill Park","Waverly Hill Park","NA"
2012,"Birmingham","Wellington Crescent, Handsworth, Birmingham","Wellington Crescent, Handsworth, Birmingham","NA"
2012,"Birmingham","West Avenue, Handsworth Wood","West Avenue, Handsworth Wood","NA"
2012,"Birmingham","Whitmore st","Whitmore st","NA"
2012,"Birmingham","Whitmore Street, Bordesley Green","Whitmore Street, Bordesley Green","NA"
2012,"Birmingham","Whitomore st","Whitomore st","NA"
2012,"Birmingham","Willes Road","Willes Road","NA"
2012,"Birmingham","Winson St","Winson St","NA"
2012,"Birmingham","Winson St","Winson St","NA"
2012,"Birmingham","Witton Lodge Road, Erdington","Witton Lodge Road, Erdington","NA"
2012,"Birmingham","Wright Street,Small heath","Wright Street,Small heath","NA"
2012,"Birmingham","Wrottesley st","Wrottesley st","NA"
2012,"Coventry","Gosford st","Gosford st","NA"
2012,"Coventry","Albany ph","Albany ph","NA"
2012,"Coventry","Allard Way, Coventry","Allard Way, Coventry","NA"
2012,"Coventry","Allesley Old Rd ,Coventry.","Allesley Old Rd ,Coventry.","NA"
2012,"Coventry","Allton road","Allton road","NA"
2012,"Coventry","Ansty Road","Ansty Road","NA"
2012,"Coventry","Arena Park , Coventry.","Arena Park , Coventry.","NA"
2012,"Coventry","Beake avneue","Beake avneue","NA"
2012,"Coventry","Beake avneue","Beake avneue","NA"
2012,"Coventry","Beake avneue","Beake avneue","NA"
2012,"Coventry","Bedlam Lane","Bedlam Lane","NA"
2012,"Coventry","Bedlam road","Bedlam road","NA"
2012,"Coventry","Birmingham international","Birmingham international","NA"
2012,"Coventry","Birmingham International Railway Station","Birmingham International Railway Station","NA"
2012,"Coventry","Blackberry Lane","Blackberry Lane","NA"
2012,"Coventry","Bowers close","Bowers close","NA"
2012,"Coventry","Britannia Hotel","Britannia Hotel","NA"
2012,"Coventry","Broad park road","Broad park road","NA"
2012,"Coventry","Broadgate","Broadgate","NA"
2012,"Coventry","Calcott House, Chace Avenue, Coventry","Calcott House, Chace Avenue, Coventry","NA"
2012,"Coventry","Car park arena park","Car park arena park","NA"
2012,"Coventry","Carmelite Road","Carmelite Road","NA"
2012,"Coventry","Chace Avenue Police Staion, Front Office.","Chace Avenue Police Staion, Front Office.","NA"
2012,"Coventry","Clay lane","Clay lane","NA"
2012,"Coventry","Concourse sky dome","Concourse sky dome","NA"
2012,"Coventry","Corporation Street","Corporation Street","NA"
2012,"Coventry","Corporation Street","Corporation Street","NA"
2012,"Coventry","Corporation street","Corporation street","NA"
2012,"Coventry","Corporation Street","Corporation Street","NA"
2012,"Coventry","Coundon Wedge drive Coventry","Coundon Wedge drive Coventry","NA"
2012,"Coventry","Coventry central police station","Coventry central police station","NA"
2012,"Coventry","Coventry central police station","Coventry central police station","NA"
2012,"Coventry","Coventry oak PH","Coventry oak PH","NA"
2012,"Coventry","Cox st Coventry","Cox st Coventry","NA"
2012,"Coventry","Croft Road","Croft Road","NA"
2012,"Coventry","Croft Road","Croft Road","NA"
2012,"Coventry","Croft road coventry","Croft road coventry","NA"
2012,"Coventry","Cross Cheaping","Cross Cheaping","NA"
2012,"Coventry","CVFO","CVFO","NA"
2012,"Coventry","CVFO","CVFO","NA"
2012,"Coventry","CVFO","CVFO","NA"
2012,"Coventry","CVFO","CVFO","NA"
2012,"Coventry","Denham avenue","Denham avenue","NA"
2012,"Coventry","Earlsdon Street","Earlsdon Street","NA"
2012,"Coventry","Elliman gardens","Elliman gardens","NA"
2012,"Coventry","Ellys Road ,Radford.","Ellys Road ,Radford.","NA"
2012,"Coventry","Far Gosford street","Far Gosford street","NA"
2012,"Coventry","Far Gosford Street","Far Gosford Street","NA"
2012,"Coventry","Flying standard","Flying standard","NA"
2012,"Coventry","Flying standard, Trinity street, Coventry","Flying standard, Trinity street, Coventry","NA"
2012,"Coventry","Foleshill Rd","Foleshill Rd","NA"
2012,"Coventry","Foleshill Road","Foleshill Road","NA"
2012,"Coventry","Foleshill road","Foleshill road","NA"
2012,"Coventry","Foleshill Road, Coventry","Foleshill Road, Coventry","NA"
2012,"Coventry","Front office","Front office","NA"
2012,"Coventry","Front office","Front office","NA"
2012,"Coventry","Front Office Car Park ,Little park St ,Coventry.","Front Office Car Park ,Little park St ,Coventry.","NA"
2012,"Coventry","Front Office, Little Park St , Coventry","Front Office, Little Park St , Coventry","NA"
2012,"Coventry","Gosford street","Gosford street","NA"
2012,"Coventry","Gosford Street","Gosford Street","NA"
2012,"Coventry","Gosford Street, Coventry","Gosford Street, Coventry","NA"
2012,"Coventry","Grangemouth Road","Grangemouth Road","NA"
2012,"Coventry","Hale street","Hale street","NA"
2012,"Coventry","HALE STREET","HALE STREET","NA"
2012,"Coventry","Hales Street","Hales Street","NA"
2012,"Coventry","Hales street","Hales street","NA"
2012,"Coventry","Hampton road Coventry","Hampton road Coventry","NA"
2012,"Coventry","Harnall Lane West , Coventry.","Harnall Lane West , Coventry.","NA"
2012,"Coventry","Harnell lane east","Harnell lane east","NA"
2012,"Coventry","Harnell lane east","Harnell lane east","NA"
2012,"Coventry","Harper road, coventry","Harper road, coventry","NA"
2012,"Coventry","Harper road, coventry","Harper road, coventry","NA"
2012,"Coventry","Heath Road","Heath Road","NA"
2012,"Coventry","Hersal common","Hersal common","NA"
2012,"Coventry","Hertford Street","Hertford Street","NA"
2012,"Coventry","Hollybush PH","Hollybush PH","NA"
2012,"Coventry","Hollybush PH","Hollybush PH","NA"
2012,"Coventry","Holyhead Road, Coventry.","Holyhead Road, Coventry.","NA"
2012,"Coventry","Homer Road","Homer Road","NA"
2012,"Coventry","Jardine crescent","Jardine crescent","NA"
2012,"Coventry","Jordan well","Jordan well","NA"
2012,"Coventry","Jtn 5 coventry ring road","Jtn 5 coventry ring road","NA"
2012,"Coventry","Jubilee Crescent","Jubilee Crescent","NA"
2012,"Coventry","Kasbah","Kasbah","NA"
2012,"Coventry","Kasbah Night Club, Coventry","Kasbah Night Club, Coventry","NA"
2012,"Coventry","Kenilworth Rd ,Coventry.","Kenilworth Rd ,Coventry.","NA"
2012,"Coventry","King william street, coventry","King william street, coventry","NA"
2012,"Coventry","Little park st","Little park st","NA"
2012,"Coventry","Little Park St ,Coventry.","Little Park St ,Coventry.","NA"
2012,"Coventry","Little Park Street","Little Park Street","NA"
2012,"Coventry","Little Park Street","Little Park Street","NA"
2012,"Coventry","Little Park Street","Little Park Street","NA"
2012,"Coventry","Little Park Street","Little Park Street","NA"
2012,"Coventry","Little park street, city centre","Little park street, city centre","NA"
2012,"Coventry","Longford","Longford","NA"
2012,"Coventry","Longford Road","Longford Road","NA"
2012,"Coventry","Lower Ford Street","Lower Ford Street","NA"
2012,"Coventry","Lower Ford Street","Lower Ford Street","NA"
2012,"Coventry","Lower Holyhead Road, Coventry.","Lower Holyhead Road, Coventry.","NA"
2012,"Coventry","Lyndale road","Lyndale road","NA"
2012,"Coventry","Ma front office","Ma front office","NA"
2012,"Coventry","MAFO","MAFO","NA"
2012,"Coventry","MAFO","MAFO","NA"
2012,"Coventry","Market Way , Coventry.","Market Way , Coventry.","NA"
2012,"Coventry","Marlcroft","Marlcroft","NA"
2012,"Coventry","Masser Road","Masser Road","NA"
2012,"Coventry","Masser Road","Masser Road","NA"
2012,"Coventry","Masser Road","Masser Road","NA"
2012,"Coventry","Masser Road","Masser Road","NA"
2012,"Coventry","Masser Road","Masser Road","NA"
2012,"Coventry","MB front office","MB front office","NA"
2012,"Coventry","MCFO","MCFO","NA"
2012,"Coventry","Meadow St","Meadow St","NA"
2012,"Coventry","Middlemarch Road","Middlemarch Road","NA"
2012,"Coventry","Middlemarch Road ,Radford ,Coventry.","Middlemarch Road ,Radford ,Coventry.","NA"
2012,"Coventry","Mile lane","Mile lane","NA"
2012,"Coventry","Mile lane","Mile lane","NA"
2012,"Coventry","Millennium Place","Millennium Place","NA"
2012,"Coventry","Moore Street","Moore Street","NA"
2012,"Coventry","Murray road","Murray road","NA"
2012,"Coventry","New union street","New union street","NA"
2012,"Coventry","New union street","New union street","NA"
2012,"Coventry","New Union Street","New Union Street","NA"
2012,"Coventry","Outside CVFO","Outside CVFO","NA"
2012,"Coventry","Oxford Street, Coventry","Oxford Street, Coventry","NA"
2012,"Coventry","Penny park lane","Penny park lane","NA"
